interval_width,algorithm,replication_number,interval_start,interval_end,duration
10000,sieve_of_eratosthenes,-1,58992,68992,0.009001970291137695
10000,naive_algorithm,-1,840951,850951,0.06302547454833984
1000,sieve_of_eratosthenes,-1,494891,495891,0.06994891166687012
1000,sieve_of_eratosthenes,-1,254492,255492,0.031035900115966797
1000,sieve_of_sundaram,-1,420819,421819,0.17999768257141113
100,naive_algorithm,-1,316499,316599,0.0
10,sieve_of_eratosthenes,-1,648334,648344,0.07900094985961914
1000,sieve_of_sundaram,-1,853516,854516,0.37799978256225586
10,sieve_of_eratosthenes,-1,157134,157144,0.018004894256591797
1000,sieve_of_sundaram,-1,752912,753912,0.3399972915649414
10,naive_algorithm,-1,793382,793392,0.0
100,sieve_of_sundaram,-1,540298,540398,0.23200178146362305
100,naive_algorithm,-1,232120,232220,0.0009958744049072266
100,naive_algorithm,-1,349227,349327,0.0
1000,sieve_of_sundaram,-1,533908,534908,0.22996735572814941
10000,sieve_of_sundaram,-1,104774,114774,0.04302835464477539
100,naive_algorithm,-1,815397,815497,0.001001596450805664
10000,naive_algorithm,-1,620483,630483,0.04700112342834473
10000,sieve_of_eratosthenes,-1,443435,453435,0.0559999942779541
10,sieve_of_eratosthenes,-1,39171,39181,0.003998756408691406
10000,sieve_of_eratosthenes,-1,961217,971217,0.1309671401977539
100,naive_algorithm,-1,283427,283527,0.0010001659393310547
10000,naive_algorithm,-1,841356,851356,0.05503273010253906
100,sieve_of_sundaram,-1,53454,53554,0.019004344940185547
10000,sieve_of_eratosthenes,-1,613335,623335,0.07793784141540527
100,naive_algorithm,-1,668794,668894,0.0
100,naive_algorithm,-1,603678,603778,0.0010364055633544922
10000,naive_algorithm,-1,459768,469768,0.041991472244262695
10000,sieve_of_eratosthenes,-1,773610,783610,0.10399937629699707
10000,sieve_of_sundaram,-1,843913,853913,0.3740060329437256
10000,sieve_of_sundaram,-1,870827,880827,0.39100074768066406
1000,sieve_of_eratosthenes,-1,14097,15097,0.0019986629486083984
1000,sieve_of_sundaram,-1,225034,226034,0.0879673957824707
100,naive_algorithm,-1,743990,744090,0.0010023117065429688
10000,sieve_of_eratosthenes,-1,469790,479790,0.060024261474609375
1000,sieve_of_eratosthenes,-1,550024,551024,0.06800627708435059
100,sieve_of_eratosthenes,-1,731910,732010,0.0939643383026123
100,sieve_of_sundaram,-1,317789,317889,0.12703371047973633
10,sieve_of_eratosthenes,-1,433003,433013,0.06396675109863281
10,naive_algorithm,-1,887653,887663,0.0010004043579101562
100,sieve_of_eratosthenes,-1,649729,649829,0.10100126266479492
10000,naive_algorithm,-1,618651,628651,0.05099844932556152
100,sieve_of_eratosthenes,-1,706064,706164,0.09799909591674805
10,naive_algorithm,-1,5126,5136,0.0
1000,naive_algorithm,-1,829775,830775,0.00599980354309082
1000,sieve_of_sundaram,-1,132513,133513,0.051479339599609375
10,sieve_of_sundaram,-1,911415,911425,0.41803765296936035
10000,sieve_of_sundaram,-1,31876,41876,0.013962268829345703
100,sieve_of_eratosthenes,-1,917461,917561,0.12003850936889648
1000,sieve_of_eratosthenes,-1,309155,310155,0.035993099212646484
10000,sieve_of_sundaram,-1,42150,52150,0.018038034439086914
10000,naive_algorithm,-1,151187,161187,0.02599930763244629
10000,sieve_of_eratosthenes,-1,246409,256409,0.02896404266357422
10,naive_algorithm,-1,560469,560479,0.0
10000,sieve_of_sundaram,-1,438608,448608,0.19803380966186523
100,sieve_of_sundaram,-1,28229,28329,0.009998559951782227
1000,sieve_of_eratosthenes,-1,215378,216378,0.026999950408935547
10000,sieve_of_eratosthenes,-1,751765,761765,0.09496617317199707
10,sieve_of_sundaram,-1,554159,554169,0.23900151252746582
10000,sieve_of_eratosthenes,-1,710620,720620,0.09399914741516113
10000,naive_algorithm,-1,134549,144549,0.026036739349365234
1000,naive_algorithm,-1,176263,177263,0.002994060516357422
100,sieve_of_eratosthenes,-1,16182,16282,0.002002716064453125
100,sieve_of_eratosthenes,-1,667320,667420,0.08350849151611328
100,naive_algorithm,-1,215465,215565,0.00099945068359375
10000,sieve_of_eratosthenes,-1,665815,675815,0.08900713920593262
10,sieve_of_eratosthenes,-1,505157,505167,0.06500005722045898
10000,naive_algorithm,-1,125385,135385,0.024994611740112305
100,sieve_of_eratosthenes,-1,866264,866364,0.11097121238708496
10,sieve_of_eratosthenes,-1,531618,531628,0.07700014114379883
1000,sieve_of_eratosthenes,-1,105647,106647,0.01199960708618164
100,naive_algorithm,-1,148352,148452,0.0
10,sieve_of_sundaram,-1,599154,599164,0.26003551483154297
10000,naive_algorithm,-1,970637,980637,0.05996298789978027
100,sieve_of_sundaram,-1,708899,708999,0.32402920722961426
10,naive_algorithm,-1,843222,843232,0.0
100,sieve_of_eratosthenes,-1,551271,551371,0.07400655746459961
10,naive_algorithm,-1,537797,537807,0.0
10000,naive_algorithm,-1,5889,15889,0.011998653411865234
10000,naive_algorithm,-1,238187,248187,0.03300309181213379
10,sieve_of_eratosthenes,-1,103493,103503,0.01199793815612793
1000,sieve_of_eratosthenes,-1,724830,725830,0.09199881553649902
100,sieve_of_sundaram,-1,53609,53709,0.017968177795410156
100,naive_algorithm,-1,141746,141846,0.0
10,sieve_of_sundaram,-1,428552,428562,0.1810319423675537
1000,sieve_of_sundaram,-1,548047,549047,0.23699641227722168
1000,naive_algorithm,-1,706975,707975,0.004994392395019531
10000,sieve_of_eratosthenes,-1,184490,194490,0.023008108139038086
1000,naive_algorithm,-1,469931,470931,0.003988742828369141
1000,sieve_of_sundaram,-1,983869,984869,0.4409773349761963
10000,naive_algorithm,-1,708141,718141,0.049036264419555664
1000,sieve_of_sundaram,-1,557453,558453,0.23696041107177734
100,sieve_of_eratosthenes,-1,333635,333735,0.039034366607666016
1000,sieve_of_sundaram,-1,163522,164522,0.06299996376037598
10000,sieve_of_eratosthenes,-1,761484,771484,0.09800434112548828
10,sieve_of_eratosthenes,-1,926287,926297,0.12200212478637695
100,naive_algorithm,-1,437662,437762,0.0009975433349609375
1000,naive_algorithm,-1,185427,186427,0.00397944450378418
10,naive_algorithm,-1,492058,492068,0.0
100,sieve_of_sundaram,-1,677129,677229,0.29698872566223145
1000,sieve_of_sundaram,-1,503293,504293,0.21499991416931152
10,naive_algorithm,-1,983507,983517,0.0
10000,sieve_of_eratosthenes,-1,603667,613667,0.08199906349182129
10000,sieve_of_sundaram,-1,860771,870771,0.38196825981140137
100,naive_algorithm,-1,614907,615007,0.0
10000,naive_algorithm,-1,702826,712826,0.05299019813537598
10,sieve_of_eratosthenes,-1,681739,681749,0.08396339416503906
10,sieve_of_sundaram,-1,603888,603898,0.26003217697143555
10000,naive_algorithm,-1,945495,955495,0.057001352310180664
100,sieve_of_sundaram,-1,708345,708445,0.3170030117034912
1000,naive_algorithm,-1,126840,127840,0.001994609832763672
10,sieve_of_sundaram,-1,711832,711842,0.3119935989379883
100,sieve_of_eratosthenes,-1,993965,994065,0.12800860404968262
100,sieve_of_sundaram,-1,180953,181053,0.07000231742858887
1000,sieve_of_eratosthenes,-1,588754,589754,0.07900667190551758
10000,naive_algorithm,-1,497267,507267,0.04499363899230957
100,sieve_of_sundaram,-1,376721,376821,0.1569657325744629
10,naive_algorithm,-1,547803,547813,0.0
1000,sieve_of_eratosthenes,-1,439191,440191,0.05703425407409668
10,sieve_of_eratosthenes,-1,266198,266208,0.03296804428100586
10000,sieve_of_eratosthenes,-1,623803,633803,0.07799816131591797
10,naive_algorithm,-1,61605,61615,0.0
10,naive_algorithm,-1,590236,590246,0.0
10000,sieve_of_eratosthenes,-1,760887,770887,0.0990285873413086
1000,sieve_of_sundaram,-1,894255,895255,0.4099726676940918
10,sieve_of_sundaram,-1,300147,300157,0.13303518295288086
10,sieve_of_sundaram,-1,165637,165647,0.06696629524230957
10,sieve_of_eratosthenes,-1,827560,827570,0.11503791809082031
10000,sieve_of_sundaram,-1,570992,580992,0.24898815155029297
1000,naive_algorithm,-1,937037,938037,0.005004405975341797
1000,sieve_of_eratosthenes,-1,793057,794057,0.1040029525756836
10000,sieve_of_eratosthenes,-1,799461,809461,0.10596656799316406
1000,sieve_of_sundaram,-1,637803,638803,0.28003692626953125
10000,sieve_of_sundaram,-1,183274,193274,0.07600021362304688
10,naive_algorithm,-1,378045,378055,0.0
10,sieve_of_sundaram,-1,253586,253596,0.10100007057189941
10000,sieve_of_sundaram,-1,372791,382791,0.15796256065368652
10000,naive_algorithm,-1,510393,520393,0.04603075981140137
10,sieve_of_sundaram,-1,62899,62909,0.02200031280517578
100,naive_algorithm,-1,535949,536049,0.0010075569152832031
1000,sieve_of_sundaram,-1,785071,786071,0.3469982147216797
1000,naive_algorithm,-1,827895,828895,0.0049970149993896484
10000,naive_algorithm,-1,835502,845502,0.056000471115112305
10,sieve_of_sundaram,-1,136283,136293,0.05300259590148926
1000,naive_algorithm,-1,846305,847305,0.0059967041015625
1000,sieve_of_sundaram,-1,250465,251465,0.10100007057189941
